gameframe,playerId,event,buildingType,buildingId,x,y
220,1,construction_site_created,Barracks,0,18,45
420,1,construction_site_created,Sawmill,0,17,47
420,1,construction_site_created,Woodcutter,0,23,52
420,1,construction_site_created,Forester,0,20,54
420,1,construction_site_created,Fishery,0,11,49
500,1,construction_site_created,Hunter,0,16,55
520,1,construction_site_created,Barracks,0,19,60
620,1,construction_site_created,Sawmill,0,19,48
620,1,construction_site_created,Woodcutter,0,21,55
660,1,construction_site_created,Barracks,0,22,50
820,1,construction_site_created,Sawmill,0,19,52
820,1,construction_site_created,Woodcutter,0,15,56
1020,1,construction_site_created,Sawmill,0,12,55
1020,1,construction_site_created,Woodcutter,0,16,46
1020,1,construction_site_created,Quarry,0,16,58
1080,1,construction_site_created,Barracks,0,13,60
1220,1,construction_site_created,Woodcutter,0,11,54
1690,1,constructed,Barracks,4399,18,45
1960,1,construction_site_created,Barracks,0,15,38
2020,1,construction_site_created,Forester,0,20,41
2020,1,construction_site_created,Woodcutter,0,23,48
2080,1,construction_site_created,Watchtower,0,21,38
2220,1,construction_site_created,Woodcutter,0,19,38
2829,1,constructed,Woodcutter,4503,23,52
2878,1,constructed,Fishery,4506,11,49
3039,1,constructed,Forester,4514,20,54
3276,1,constructed,Barracks,4521,19,60
3580,1,construction_site_created,Barracks,0,25,58
3620,1,construction_site_created,Woodcutter,0,21,58
3620,1,construction_site_created,Fishery,0,14,64
3680,1,construction_site_created,Watchtower,0,16,64
3700,1,constructed,Hunter,4566,16,55
3727,1,constructed,Woodcutter,4579,21,55
3820,1,construction_site_created,Woodcutter,0,24,61
3871,1,constructed,Woodcutter,4593,16,46
3889,1,constructed,Barracks,4595,22,50
4020,1,construction_site_created,Woodcutter,0,20,64
4023,1,constructed,Barracks,4600,13,60
4047,1,constructed,Woodcutter,4607,11,54
4191,1,constructed,Woodcutter,4616,15,56
4280,1,construction_site_created,Guardhouse,0,28,48
4300,1,construction_site_cancelled,Guardhouse,0,28,48
4300,1,construction_site_created,Guardhouse,0,25,53
4491,1,constructed,Quarry,4645,16,58
4829,1,constructed,Barracks,4658,15,38
4999,1,constructed,Woodcutter,4666,23,48
5040,1,construction_site_created,Watchtower,0,23,63
5243,1,constructed,Sawmill,4680,19,52
5255,1,constructed,Forester,4684,20,41
5420,1,construction_site_created,Hunter,0,16,36
5420,1,construction_site_created,Fishery,0,11,56
5423,1,constructed,Sawmill,4699,12,55
5848,1,constructed,Sawmill,4728,17,47
5937,1,constructed,Barracks,4734,25,58
