gameframe,playerId,event,buildingType,buildingId,x,y
220,1,construction_site_created,Barracks,0,18,45
420,1,construction_site_created,Sawmill,0,17,47
420,1,construction_site_created,Woodcutter,0,23,52
420,1,construction_site_created,Forester,0,20,54
420,1,construction_site_created,Fishery,0,11,49
500,1,construction_site_created,Hunter,0,16,55
620,1,construction_site_created,Sawmill,0,19,48
620,1,construction_site_created,Woodcutter,0,21,55
620,1,construction_site_created,Barracks,0,19,60
820,1,construction_site_created,Sawmill,0,19,52
820,1,construction_site_created,Woodcutter,0,21,50
1020,1,construction_site_created,Sawmill,0,12,55
1020,1,construction_site_created,Woodcutter,0,15,56
1020,1,construction_site_created,Quarry,0,16,58
1220,1,construction_site_created,Woodcutter,0,16,46
1420,1,construction_site_created,Woodcutter,0,11,54
1420,1,construction_site_created,Barracks,0,13,60
1684,1,constructed,Barracks,4397,18,45
1960,1,construction_site_created,Barracks,0,15,38
2020,1,construction_site_created,Woodcutter,0,23,48
2020,1,construction_site_created,Forester,0,19,38
2020,1,construction_site_created,Barracks,0,21,38
2220,1,construction_site_created,Woodcutter,0,17,38
2609,1,constructed,Woodcutter,4481,23,52
2733,1,constructed,Fishery,4487,11,49
2827,1,constructed,Forester,4492,20,54
2874,1,constructed,Hunter,4495,16,55
3300,1,constructed,Woodcutter,4507,21,55
3450,1,constructed,Barracks,4514,19,60
3622,1,constructed,Woodcutter,4519,21,50
3681,1,constructed,Woodcutter,4521,16,46
3760,1,construction_site_created,Guardhouse,0,25,58
3776,1,constructed,Woodcutter,4526,11,54
3820,1,construction_site_created,Fishery,0,15,66
3820,1,construction_site_created,Woodcutter,0,21,58
3820,1,construction_site_created,Fishery,0,14,64
3899,1,constructed,Quarry,4567,16,58
3937,1,constructed,Woodcutter,4573,15,56
4020,1,construction_site_created,Woodcutter,0,24,61
4220,1,construction_site_created,Guardhouse,0,23,63
4378,1,constructed,Barracks,4604,13,60
4818,1,constructed,Woodcutter,4619,23,48
4875,1,constructed,Barracks,4622,15,38
5058,1,constructed,Forester,4632,19,38
5203,1,constructed,Sawmill,4637,19,52
5305,1,constructed,Sawmill,4641,17,47
5357,1,constructed,Sawmill,4645,12,55
5420,1,constructed,Barracks,4651,21,38
5420,1,construction_site_created,Fishery,0,12,57
5460,1,construction_site_created,Hunter,0,16,36
5619,1,constructed,Woodcutter,4680,17,38
5664,1,constructed,Sawmill,4683,19,48
5755,1,constructed,Woodcutter,4690,21,58
5960,1,construction_site_created,Guardhouse,0,25,32
