gameframe,playerId,event,buildingType,buildingId,x,y
220,1,construction_site_created,Barracks,0,18,45
420,1,construction_site_created,Sawmill,0,17,47
420,1,construction_site_created,Woodcutter,0,23,52
420,1,construction_site_created,Forester,0,20,54
420,1,construction_site_created,Fishery,0,11,49
500,1,construction_site_created,Hunter,0,16,55
520,1,construction_site_created,Barracks,0,19,60
620,1,construction_site_created,Sawmill,0,19,48
620,1,construction_site_created,Woodcutter,0,21,55
660,1,construction_site_created,Barracks,0,22,50
820,1,construction_site_created,Sawmill,0,19,52
820,1,construction_site_created,Woodcutter,0,15,56
1020,1,construction_site_created,Sawmill,0,12,55
1020,1,construction_site_created,Woodcutter,0,16,46
1020,1,construction_site_created,Quarry,0,16,58
1080,1,construction_site_created,Barracks,0,13,60
1220,1,construction_site_created,Woodcutter,0,11,54
1690,1,constructed,Barracks,4399,18,45
1960,1,construction_site_created,Barracks,0,15,38
2020,1,construction_site_created,Forester,0,20,41
2020,1,construction_site_created,Woodcutter,0,23,48
2080,1,construction_site_created,Watchtower,0,21,38
2220,1,construction_site_created,Woodcutter,0,19,38
2822,1,constructed,Woodcutter,4504,23,52
2845,1,constructed,Fishery,4506,11,49
3046,1,constructed,Forester,4515,20,54
3254,1,constructed,Barracks,4521,19,60
3560,1,construction_site_created,Barracks,0,25,58
3620,1,construction_site_created,Fishery,0,15,66
3620,1,construction_site_created,Woodcutter,0,21,58
3620,1,construction_site_created,Fishery,0,14,64
3680,1,construction_site_created,Watchtower,0,16,64
3682,1,constructed,Hunter,4569,16,55
3689,1,constructed,Woodcutter,4571,21,55
3820,1,construction_site_created,Woodcutter,0,24,61
3829,1,constructed,Woodcutter,4593,16,46
3853,1,constructed,Barracks,4600,22,50
4005,1,constructed,Barracks,4605,13,60
4020,1,construction_site_created,Woodcutter,0,20,64
4024,1,constructed,Woodcutter,4610,11,54
4175,1,constructed,Woodcutter,4630,15,56
4260,1,construction_site_created,Barracks,0,28,48
4280,1,construction_site_cancelled,Barracks,0,28,48
4280,1,construction_site_created,Barracks,0,25,53
4472,1,constructed,Quarry,4652,16,58
4804,1,constructed,Barracks,4666,15,38
4981,1,constructed,Woodcutter,4674,23,48
5040,1,construction_site_created,Watchtower,0,23,63
5212,1,constructed,Sawmill,4690,19,52
5224,1,constructed,Forester,4694,20,41
5380,1,construction_site_created,Hunter,0,16,36
5403,1,constructed,Sawmill,4714,12,55
5561,1,constructed,Sawmill,4722,17,47
6040,1,construction_site_created,Barracks,0,28,48
